message_id_default,user id,nickname,comment_text,Total reply number,reply_number,reply_id,reply_uid,reply_nickname,reply_text,reply_up_count,reply_down_count
d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,1,f431f588-cb7e-42e3-90d8-d122e6f7cff5,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,"Yes, some people call it dope. I said that. Cops in the south and the willfully ignorant who cling to hyperbole like yourself and Just me. Are you the same person? You both are delusional and desperately cling to propaganda",0,0
d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,2,dce10b54-99aa-4182-83e5-08c75e9c7259,G4MDEWF3QNHZOIVSBEZA65IMEM,Just Me,"@Janine, He's never heard the phrase ""smoking dope"". The term was used quite extensively in the military until other drug forms emerged that could be smoked.",0,1
d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,3,3890170b-4c39-4d46-864c-d70ddbb8b89d,7ZPR5JVGGCMTMK2CI3RE7TYSOY,Janine,"@dtboco Tell ya what, show me a link and we'll call it a day.",0,1
d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,4,4ece499d-3efa-4a49-bc5b-9d7af21287f4,7ZPR5JVGGCMTMK2CI3RE7TYSOY,Janine,"Hey, look it up! If you're going to call the guy,""willfully ignorant, I would think you'd have a better argument. Apparently, some people do call it dope, sorry to let you down.",1,1
d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,5,cf3c5aa3-c8d4-41f1-a130-0a1f7651d103,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,"@Janine You can cite definitions all you want. No one calls marijuana dope like I stated. See that part in the definition where it says heroin? That's what most people are referring to when they say dope. That is just a fact no matter how much you want to argue. Facts aren't your strong point based on your posts, though. Are you paid to spread misinformation or just ignorant?",0,0
d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,6,2ce0cef5-b62f-4189-bee7-d320d63ed473,7ZPR5JVGGCMTMK2CI3RE7TYSOY,Janine,"lol @dtboco, willfully ignorant huh - check your definitions dt, then comment. Dope - noun 1. INFORMAL a drug taken illegally for recreational purposes, especially marijuana or heroin.",1,1
d4994c25-0466-45dc-8503-838c9fff741d,K6UTXMXQOPWOFAVS7XHO5P4JWE,Tim,"What to expect: more stupid people walking around! That's why they call it dope, you dopes! LOL",7,7,c365ea85-d611-4a27-bea7-2310b1a85c71,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,"No one calls it dope, though. Only the willfully ignorant like yourself and cops in the south. To the rest of us dope generally refers to heroin.",0,0
18f81213-7b42-4632-a431-f40cef9dd048,5LQRESOG3WWXH6JHLG25ZHQMCI,George,What to expect? More dead libtards!,1,1,40968e61-b799-4b57-aad7-3496711287ac,W57ZN7XEK3V72OTQU6CW2VEVDI,Gumby,"From weed? LOL, ignorant.",3,0
a1d3844b-c02c-40ac-9efb-928d882b54cd,55NG2EWTPXBE65UVQQVMPIWFL4,Pdei47,Smoked some Willie Nelson and felt like a new person. Keep those opioids give people some of the Willie Nelson.,1,1,fcc13567-a01d-4aff-bbff-a3d5142d7bac,2L6W2SSR5VO2ZDS6EMMZXN3DPQ,LlllllBbbbbb,Snoop Dog !,1,0
af5372a3-3e64-4b49-b19a-77a6f78cd8d4,7DAWWFT7NH7GJDIVKVSKZ3A5DE,Stephen,weak degenerate drug trash can't get through life without getting high. the dregs of society who use food stamps,3,1,4938a61c-6088-4c36-bc16-b343a0d52f1e,7DAWWFT7NH7GJDIVKVSKZ3A5DE,Stephen,@Ash Williams If you have to get high to get women you aren't even a man. just a weak little boy puto,1,0
