message_id_default,user id,nickname,comment_text,Total reply number,reply_number,reply_id,reply_uid,reply_nickname,reply_time,reply_text,reply_up_count,reply_down_count,
ea670ad8-8d0d-4614-8c04-50e2ce4239c6,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol.  You can't drive, can't do it in the park or walking down the street or in front of people.  Be respectful and there's no problem.",7,1,150ea271-f83e-46bd-89ea-cf28d778369c,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,11/8/18 23:47,There are billboards in ca that say pot will be treated as alcohol.  You can't drive while high. It's a dui.,0,0,
ea670ad8-8d0d-4614-8c04-50e2ce4239c7,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol.  You can't drive, can't do it in the park or walking down the street or in front of people.  Be respectful and there's no problem.",7,2,e16322c1-50d9-4e62-bbcc-3bd252f9d558,6OT3LND3VL6DUIWLPBJ24IZRCQ,BenjaminF,11/8/18 13:26,"Why treat it like alcohol?  Just to be fair to the alcoholics?  When it comes to driving and motor skills in general, alcohol is so much worse.",0,2,
ea670ad8-8d0d-4614-8c04-50e2ce4239c8,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol.  You can't drive, can't do it in the park or walking down the street or in front of people.  Be respectful and there's no problem.",7,3,2369a473-ac64-4ea5-afd0-228b94ef8a11,LH7G7IVFLG7MFXAHN44NIFSCKQ,StarLord,11/8/18 12:52,No .. Smoking should be illegal ... eating is fine,1,4,
ea670ad8-8d0d-4614-8c04-50e2ce4239c9,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol.  You can't drive, can't do it in the park or walking down the street or in front of people.  Be respectful and there's no problem.",7,4,b2cf1a34-25d0-4ee6-93c0-ae52983051a0,P7S7U445QOKWHG67HZEMLEH5HM,John Starace,11/8/18 12:38,@Hebrew I think even a little bit of slow down in your reaction time is dangerous. Maybe not as bad as alcohol but still will increase your odds of being in an accident.,1,0,
ea670ad8-8d0d-4614-8c04-50e2ce4239c10,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol.  You can't drive, can't do it in the park or walking down the street or in front of people.  Be respectful and there's no problem.",7,5,83e10f21-d32b-4ed0-bbcc-731ead1554d6,5PWHRBS5HALZRENG6PV3X52MDQ,Grega,11/8/18 12:07,It stinks far more than cigarette smoke and it can cause allergic reactions in people that are allergic to grass.,4,2,
ea670ad8-8d0d-4614-8c04-50e2ce4239c11,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol.  You can't drive, can't do it in the park or walking down the street or in front of people.  Be respectful and there's no problem.",7,6,c3d871c2-3faa-46cd-9ae6-89e599ac12bc,VJEIWRHGN73UXL7S5V5AQPBRSA,Hebrew,11/8/18 09:19,@Karl it doesn’t work that way.  Maybe the high driver just finds herself slowing down a bit.  It’s not like drunk driving.,4,3,
ea670ad8-8d0d-4614-8c04-50e2ce4239c12,DCBP5R4DIHY6KVH44XFJ76YGNY,Kief,"Treat it like alcohol.  You can't drive, can't do it in the park or walking down the street or in front of people.  Be respectful and there's no problem.",7,7,a3e67245-4913-4ada-b100-ce785aba0c55,CN6UD6CERN3V4QXR7C6CKNPQ74,Karl,11/8/18 07:54,How do they tell if a driver is currently high,2,2,
138099a1-f6aa-468b-9239-6ab6edc26c89,7LERFJTUCCVVPT25HZDLH7V7MA,Tim,I have no problem with MEDICAL ....The Other I do . You Still Have To Pass A Drug And Alcohol Test To Work . And It makes A lot people Not Have A Job .,3,1,c39a23af-8c6c-4086-a918-02c6d1b39f01,2L6W2SSR5VO2ZDS6EMMZXN3DPQ,LlllllBbbbbb,11/8/18 05:15,I have never had to take a drug test for a job!  EVER!!!  And I have a BS in Accounting and passed the CPA exam.  Love my weed!,1,1,
138099a1-f6aa-468b-9239-6ab6edc26c89,7LERFJTUCCVVPT25HZDLH7V7MA,Tim,I have no problem with MEDICAL ....The Other I do . You Still Have To Pass A Drug And Alcohol Test To Work . And It makes A lot people Not Have A Job .,3,2,0d8bb7fa-4240-4039-b831-7b82ea0a6170,XY2ZTAOLVIBWH75WEYES5RAQ3A,Rosalind,11/8/18 04:29,dtboco wants everyone (even children) to work in head shops peddling dope.,4,2,
138099a1-f6aa-468b-9239-6ab6edc26c89,7LERFJTUCCVVPT25HZDLH7V7MA,Tim,I have no problem with MEDICAL ....The Other I do . You Still Have To Pass A Drug And Alcohol Test To Work . And It makes A lot people Not Have A Job .,3,3,9cd635a9-6126-4ce5-9328-8aff0a1d2a88,QQFA5N26F4BLGUVKSKB3BQ57HI,dtboco,11/8/18 04:19,Or those people can get jobs in the legal marijuana industry...,2,2,
