Condition,message_id,user id,nickname,create_time,comment_text,up_count,down_count,reply_count,Default condition,Signal I- condition1 (Strict),Signal I- condition2 (Loose),Signal II- condition1 (Strict),Signal II- condition2 (Loose)
All for,1101,XM3POSZ7ZR5RGCEQ4TEXB5A2KI,Val C,1/8/18 17:49,"AG Sessions totally gets it, Sen Booker.  The people the war hurts - low income, minority - are people that Sessions hates and has no use for. That old boy southern upbringing in him.",1,0,1,,FLAGED by bot,,Malicious Score Given by bot: 92,
All for,1102,Q7NUDIJBVGJSYXUMDUP27FYEXM,Joe,1/7/18 07:13,"It is not up to Sessions to pick and chose the laws that he enforces. Booker, you are in a better position than Sessions if you don't like the law. Don't throw shade on him for doing his job, do yours. Change the law.... Stupid.",0,0,0,,FLAGED by bot,FLAGED by bot,Malicious Score Given by bot: 85,Malicious Score Given by bot: 85
All for,1103,GAZGZXHLRAMMSNBFSSY7DUWFRY,Gay,1/7/18 16:20,Just to show how magnanimous we are we are NOT going to kill Jeff Sessions. He will instead go to reeducation camp with the other white children.,2,2,2,,FLAGED by bot,,Malicious Score Given by bot: 73,
All for,1104,5R4ZPB6UJI4ISSR64D4UIIPDUY,Jackson,1/8/18 13:09,"""Dope"" Booker, Pot is a gateway drug. I support the possum on this one.",1,1,0,,FLAGED by bot,FLAGED by bot,Malicious Score Given by bot: 93,Malicious Score Given by bot: 93
All for,1001,Z5D5QJFEDLNKR7EZ75Q7X7WJ5E,pamelaf,1/7/18 10:38,Sessions has been taking money from the prison lobby all of his political career. So of course he want government to lock more people up.,303,75,12,,,,,
All for,1002,LW36DC4NBQ73FDHOCFQQ6BVGFQ,mike,1/7/18 12:17,"I smoke each night before going to bed.   The government has been lying about weed for decades.   It is not a gateway drug to anything other than a good nights sleep.
I'll be 70 shortly.   The entire lie has been just that...........a lie.
It was only because the government couldn't control growing the pot and taxing it.  That is way they have wasted decades of tax payers money fighting this issue.
Just another example of fools with nothing else to do.",2,2,0,,,,,
All for,1003,AMSKKNAWCYKIFAFHIADREIMIGY,ROCKER,1/11/18 12:28,"Sessions will cost Americans tens of billions of dollars.  No tax revenue from legal sales anymore and now we'll be paying for arrests, prosecutions and housing of people for the use of a virtually harmless herb.  Yeah, great thinking there Jeff.",2,2,1,,,,,
All for,1004,ER5IQSXG3S3TIHLLMMT5KPHSUA,Zoomer,1/8/18 04:10,"It's remarkable how little regard some people have for the facts.  Firstly, marijuana is not a narcotic as it doesn't depress the central nervous system and is therefore not addictive. Secondly, there is no evidence that using marijuana leeds to taking ""hard drugs"". When Mr, Sessions rants mindlessly about marijuana, it makes you wonder if he has been smoking too many of those funny cigarettes.",1,2,0,,,,,
All for,1005,GSEOBGGTWHO2W325ZEYF7YXMFM,Thomas,1/7/18 21:23,Just an opinion but Sessions appears to have some sort of mental condition. Maybe delusional probably worse. Prohibition doesn't work. Things could get ugly. Thanks for trying to set America Back Again  Jeffy.,1,2,1,,,,,
All for,1006,JI3ST2PFCPNR3XRAFKMDAB6CPE,MF DOOM,1/5/18 17:34,Booker is right - the weed battle was lost long ago.  Sessions doesn't have the intelligence or the right instincts for the AG job.  He is in over his head and should step down.,0,2,0,,,,,
