message_id,message_id_default,user id,nickname,comment_text,Total reply number,reply_number,reply_id,reply_uid,reply_nickname,reply_text,reply_up_count,reply_down_count
128,a6cb54bf-dffa-4629-8155-bfb020919c32,XM3POSZ7ZR5RGCEQ4TEXB5A2KI,Val C,"AG Sessions totally gets it, Sen Booker.  The people the war hurts - low income, minority - are people that Sessions hates and has no use for. That old boy southern upbringing in him.",1,1,bb69c9a9-0cd1-4632-85e7-94f3eed54d3b,ZGVH7N55VGEGFHCIUSCQU2AHVY,Ralph,Yup.    Sessions goal is to put more black people in prison.    White people use pot but he won't go after them.,1,2
105,3a5bf12d-5e3f-4e9e-9a20-dbe0a5f475b0,AMSKKNAWCYKIFAFHIADREIMIGY,ROCKER,"Sessions will cost Americans tens of billions of dollars.  No tax revenue from legal sales anymore and now we'll be paying for arrests, prosecutions and housing of people for the use of a virtually harmless herb.  Yeah, great thinking there Jeff.",1,1,90ec2322-695d-4152-aeaf-596cb35190eb,Q4R6KVZNDVR2AYJFV6N3LKJVIY,Ding,yup,1,0
107,68122a6d-21f6-40e9-8da5-4c9b10894f3d,BFS4P5R7MWJXA2CJJKX725BGJQ,George,illegal weed is cheaper.........................,1,1,e689a62c-4c97-4c1d-a089-f6d419a245bd,ZGVH7N55VGEGFHCIUSCQU2AHVY,Ralph,Nope.    One can legally grow it oneself and it is virtually free that way.    Likely taxes will be adjusted if the black market gets the business.     That doesn't seem to be a problem in Washington State.,1,4
127,4578bb9a-3ca3-4c65-b175-ae420458f9eb,VIHVLRWYFN7XH6D2QEXXZHNHBI,dlanger,"Obey the law on drugs, these states that legalize pot have yet to see the social problems so associated!  This nation has enough social problems without adding to it with liberal pot laws, wake-up!",3,1,f2f6508c-5bc1-4baa-a17e-6a4c9f0ea78c,3QL32Y4KJNDVRJR3RB7OACPQ2U,Tedgi,"Less folks going to jail = less social problems. More tax revenue, more jobs, more support businesses created, a generally happier and more fun loving public. Maybe you should try it. You do seem wound up pretty tight. Maybe you wouldn't be such a busybody who tries to tell everyone how to live.",0,1
127,4578bb9a-3ca3-4c65-b175-ae420458f9eb,VIHVLRWYFN7XH6D2QEXXZHNHBI,dlanger,"Obey the law on drugs, these states that legalize pot have yet to see the social problems so associated!  This nation has enough social problems without adding to it with liberal pot laws, wake-up!",3,2,5b019aec-40de-4b35-931f-d81a84bfbff3,SYGRMWLWIBLR4NBDZY7I52HLQA,DavidT,"Yes, they ""have yet to see the social problem"" because there aren't any. Pot is not as dangerous as alcohol and tobacco yet all people ask is that it be treated the same as those two, far more dangerous, drugs.

In fact, here in Washington, the level of opioid addiction has gone down because pot is simpler, cheaper, works, and isn't controlled by the pharma industry. Now that's a social benefit.",0,1
127,4578bb9a-3ca3-4c65-b175-ae420458f9eb,VIHVLRWYFN7XH6D2QEXXZHNHBI,dlanger,"Obey the law on drugs, these states that legalize pot have yet to see the social problems so associated!  This nation has enough social problems without adding to it with liberal pot laws, wake-up!",3,3,0dda3849-dc4d-46b7-b603-5ae3a3f733a2,TNI6RRDBAAC3GZ3GXSNLIBUMLQ,Anonymous,Marijuana has been around forever and is used by a large segment of our population already. Is that why Trump was elected. Cause we have all those social issues going on that you spout.,0,0
120,1643691c-bdf0-43be-876f-7c0ab2dac8be,PWVKSQTS4IVX5NDSY7DOL7FY2Q,sweetexas1947,"The wealthy will love it, when they have a nation full working slaves who are willing to do anything to get their drugs.   Just like the Reverse Mortgage industry, once No one owns property except a few investors and the wealthy, everyone will owe the landlords.

This is history repeating itself.   Peasants, surfs, landlords, etc!",2,1,18feff5b-f810-41d1-a77b-a52ac57fac85,5DNMQJ42OPIE42DRZRHY4IBGYE,427 z28,Reverse mortgages  are not forced on anyone.,0,0
120,1643691c-bdf0-43be-876f-7c0ab2dac8be,PWVKSQTS4IVX5NDSY7DOL7FY2Q,sweetexas1947,"The wealthy will love it, when they have a nation full working slaves who are willing to do anything to get their drugs.   Just like the Reverse Mortgage industry, once No one owns property except a few investors and the wealthy, everyone will owe the landlords.

This is history repeating itself.   Peasants, surfs, landlords, etc!",2,2,d60598b0-0739-4de0-88c1-fea17a27fda6,ZGVH7N55VGEGFHCIUSCQU2AHVY,Ralph,"You act as though this is new, dumbbell.    Most of the nation has been smoking pot for many decades.    And the nation has held up well.     

I wouldn't ever have a Reverse Mortgage.    My home is paid for and I like it that way.    I have enough money on which to live.     I don't trust mortgage companies.",2,3
103,524fc5aa-3ca9-4288-a78d-17cd1e9c18d0,2JFHQDBZ3OCWWZVIYMFMMV5QH4,Bad Luck,Whacky liberals. They want to ban selling 20oz. sodas and salt shakers in restaurants but cry pot is good for the country. Ban cigarette smoking but promote pot smoking. What a bunch of morons.,2,1,da78e13d-8841-4bcc-9eac-b9a87e5ef3c0,D3T4ZK6G3FTLAUVCRMX3PEWEHI,Shelly,They want to tell YOU how you have to live your life. They dont want anybody telling them how to live theirs. That?€?s modern liberalism in a nutshell.,1,2
103,524fc5aa-3ca9-4288-a78d-17cd1e9c18d0,2JFHQDBZ3OCWWZVIYMFMMV5QH4,Bad Luck,Whacky liberals. They want to ban selling 20oz. sodas and salt shakers in restaurants but cry pot is good for the country. Ban cigarette smoking but promote pot smoking. What a bunch of morons.,2,2,c15c07e9-85db-4330-b587-52a337ce27c8,YXU5W6CIKH3TQU7MZ7XG3E2C74,Scott,"Wait, wait.  So you don't like one group of people telling you how to live but you don't mind another group of people telling people how to live?  Neither cigarettes nor cannabis should be banned, nor should any size of soda.  If one health fascist gets to dictate then that sets the precedent that all health fascists can dictate.  That isn't a slippery slope, it's just how precedent works.",2,0
